Tokens	Score
lone	-2
mistakenly	-2
mirth	5
rainy	0
strongest	4
hero	5
likeable	4
avoids	-1
obsessed	-1
adventurous	3
ugliness	-5
lamest	-3
spirited	3
murders	-6
effective	4
adore	5
cool	3
attachment	2
kill	-6
mocking	-4
grinned	2
seriously	-1
powerless	-4
entitled	2
arguably	-2
efficiency	3
magnificence	5
lucky	4
terrorism	-6
confident	4
shockers	-2
menace	-4
hate	-5
enchanted	3
darkest	-4
devastatingly	-5
disillusioned	-4
careless	-3
profit	4
savagery	-5
cruelty	-5
disrespect	-4
mock	-4
risked	-2
doomed	-6
weary	-2
outcry	-5
attacks	-4
respect	4
deny	-3
furious	-5
efficiency	3
moans	-1
gt	2
woeful	-4
rigged	-3
insipid	-4
freeway	0
unmatched	0
smog	-2
blamed	-4
funnier	4
expose	-1
demand	-1
merits	4
violence	-6
soothe	3
nerves	-1
wisecracks	0
credits	3
hostile	-3
triumphing	5
petty	-2
inferior	-4
earnest	5
bless	4
awful	-4
generous	5
kissed	3
tia	5
argue	-3
respective	4
conflicts	-3
contradictions	-3
ok	2
amusement	3
increase	3
collapse	-4
casual	2
lowliest	-4
honorary	3
intelligence	4
worshipers	2
strikes	-3
defeated	-4
cares	4
defeating	-3
disadvantaged	-4
advantages	3
heros	3
battle	-3
deception	-4
criticizes	-3
misleading	-4
stinks	-2
meritorious	4
unfortunately	-3
agreement	4
outraged	-5
shamefully	-4
admirer	4
accused	-2
reward	5
fought	-3
villains	-6
values	4
mad	-4
ill	-4
haha	4
admire	4
grossing	0
bomb	-4
successive	2
well	2
better	4
indoctrinated	-1
regrettably	-4
glamorizes	5
ability	3
despise	-3
cuteness	5
respectful	4
friendly	4
like	3
attractive	4
shaken	0
attacker	-5
mercy	3
worst	-6
smartly	3
warmth	4
chuckled	2
dominate	-1
strengths	4
confronts	-2
wowing	5
perfect	5
truthful	4
heartwarming	4
nuts	-3
popularized	4
spark	2
silly	0
fails	-4
messed	-3
yay	5
abandon	-4
smarter	4
faulty	-3
jollies	4
sunshine	4
selfishly	-3
medal	4
doubtless	2
distorted	-4
tricks	-1
shame	-4
revive	3
scream	-4
rejects	-4
pressure	-2
blames	-4
frenzy	-3
misbehaving	-4
annoyed	-3
nagging	-4
freezing	-1
poison	-5
praising	5
forgives	4
ridicules	-4
solves	2
chaos	-5
calms	3
comedians	2
comedian	3
questioned	-1
pardon	3
perfects	3
complaining	-2
bomb	-4
feared	-4
frighten	-3
holidays	3
worst	-6
splendid	5
marvelous	5
resolve	3
dominates	0
adventures	3
loose	-3
messy	-3
okay	2
risks	-2
attack	-4
sorry	0
geek	-2
sucked	-4
excited	3
interrupted	-2
splendor	6
lovelies	4
tensions	-4
mockery	-3
excellent	5
brutally	-6
doubting	-3
acceptable	3
cruel	-5
dismay	-4
wickedness	-4
shocker	-1
commits	0
discomfort	-4
romanticizes	4
agony	-4
prisoner	-5
cutting	-1
disjointed	-3
snobbery	-4
tenders	1
sunny	4
harmonica	1
murdering	-6
mocks	-4
true	4
spam	-3
tension	-3
perpetrator	-4
speculative	1
respecting	4
impressions	2
creative	4
joyously	5
sweetness	4
nasties	-4
stealing	-5
ugh	-4
sickeningly	-4
comedienne	1
guarantee	2
peril	-4
spite	-5
contradictions	-3
truth	3
credits	3
boldface	0
frustratingly	-4
excluded	-3
defence	1
sunshine	4
friend	4
ideal	5
error	-4
scoop	1
stricken	-5
suave	4
merry	5
doubts	-2
despised	-4
smothering	-3
respects	3
distraught	-5
friendlier	4
ticked	-4
backed	0
moans	-1
doubtlessly	2
chaos	-5
ashamed	-4
daredevil	1
warns	-1
trap	-3
overwhelmed	0
annoying	-4
overweight	-3
miserable	-4
undermine	-2
snobbish	-2
uncertain	-2
cancel	-2
whining	-2
great	6
better	4
forbidden	-4
hopefulness	3
uneasy	-3
cynic	-3
unsuccessful	-3
fascinating	5
sadden	-5
distracted	-3
glamorized	4
attracts	4
low	-2
riches	5
fury	-5
superb	6
unintelligent	-4
wrong	-4
nicer	4
lowly	-2
aggressive	-1
sentimentalist	2
exhaustive	-1
defiant	-2
stuttering	-3
worth	2
bastard	-5
thrills	3
sure	3
justified	4
granted	2
dreaded	-5
created	2
pray	3
devils	-5
futile	-4
problematic	-4
compassion	4
prejudice	-5
apathy	-2
neglected	-5
wonderful	5
satisfied	4
unfriendly	-3
cleverly	5
brilliantine	2
dwell	1
cheerful	5
revives	3
cheers	4
defects	-4
poisoned	-4
joker	1
sad	-4
excuse	0
good	4
terrible	-4
humorously	5
relax	4
wrong	-4
matter	0
worsening	-4
worsens	-4
adequate	2
heroism	5
war	-5
craziness	-3
enjoyed	5
wimpy	-2
confused	-3
harmed	-4
cut	-2
humour	4
slashes	-2
skeptics	-1
jokey	2
pitifully	-2
terrifically	4
craze	-1
cheated	-5
exploration	2
evils	-5
dreadfully	-5
disdain	-4
joke	2
retreat	2
grimy	-4
charitably	3
stinker	-3
lone	-2
disagrees	-3
destructive	-6
grand	4
solid	1
exploits	-3
loyal	4
unhealthy	-5
death	-5
misunderstood	-3
slutty	-5
lies	-4
horrifying	-5
dirty	-4
terrorist	-6
truth	3
war	-5
turmoil	-3
sob	-2
fooled	-3
motivation	3
intimidation	-4
apology	0
funnel	0
dirty	-4
betrayal	-5
losses	-4
stout	1
ugh	-4
competitive	1
skeptic	-2
inconvenient	-3
truth	3
endorsed	2
scam	-5
sigh	0
unacceptable	-4
cute	4
dead	-6
cute	4
sillier	2
worsen	-5
love	6
rejection	-5
useless	-4
disregard	-2
forgiving	4
pleasing	5
unimpressed	-3
cutting	-1
avoided	-3
unwelcome	-4
lost	-3
scream	-4
adversary	-2
invite	1
jackass	-4
ache	-3
irritation	-5
drop	-2
masochistic	-4
heartbroken	-6
blameless	1
accidentally	-3
distressing	-4
swears	0
compassionate	4
respects	3
cool	3
freaked	-2
reeked	-4
havoc	-5
destroyer	-4
ridiculed	-3
relieved	3
original	3
irresistible	3
prize	5
dangerous	-4
aghast	-4
lol	4
hating	-5
tolerance	2
biased	-2
grave	-3
kind	5
comfort	3
wrong	-4
sweets	4
emergency	-3
lose	-4
gossip	-1
contradiction	-2
affections	3
sweetly	4
smiled	5
strain	0
tease	-3
delectable	5
broke	-4
shares	2
alone	-2
adored	4
admired	5
sucks	-3
intellectuals	3
embrace	3
kisses	5
stupid	-5
perversion	-3
dysfunction	-4
perfect	5
mandatory	0
loners	-2
idiot	-5
hell	-6
crazier	0
frustrates	-4
attraction	4
appalled	-4
prison	-5
excel	4
godsend	5
ridiculous	-3
unaware	-2
promote	3
comfort	3
murder	-6
sad	-4
worth	2
laugh	5
hated	-6
loyalty	5
inconvenience	-3
luck	4
jealously	-4
jealously	-4
beloved	5
whiney	-3
trauma	-4
raped	-6
humiliate	-5
innocence	3
uncompelling	-2
smothered	-2
free	5
criticise	-4
laughing	4
terrorising	-6
irritates	-4
sore	-3
severed	-3
passive	2
isolationist	1
happiness	5
perfect	5
hand	4
motivated	4
sickening	-5
ftw	4
hopeless	-4
laughing	4
interruptions	-4
supporter	2
defense	1
supporters	4
undermined	-3
gratefully	4
discards	-2
humor	2
outstanding	6
whore	-6
betrays	-5
childish	-2
reliefs	3
provoked	-2
masterpieces	5
promise	3
commitment	3
devastating	-6
aching	-4
guilty	-4
crudely	-2
kiss	4
freak	-4
bothers	-2
confuse	-2
protesters	-2
funny	4
exhausted	-3
obsessions	-2
romanticism	4
geeky	-1
corpse	-5
neatly	3
romantic	4
fight	-3
terrorized	-6
peaceful	4
freak	-4
suck	-4
beautifully	5
heartbreakingly	-4
stupid	-5
stinking	-5
disappointing	-4
weaker	-4
antagonism	-4
gorgeously	5
satisfying	4
honour	5
enthusiastically	5
lively	4
obscene	-5
heroic	5
questionable	-2
enthusiasts	3
enjoys	5
apologizes	3
slavery	-7
beautiful	5
bitterly	-4
exploit	-1
zealot	-4
success	5
convincingly	3
relentless	0
gag	-3
hero	5
exaggerating	-1
victim	-2
blaming	-4
treasures	4
joyful	5
appallingly	-4
adversity	-4
screwy	-3
assault	-5
astounding	4
superb	6
weird	-1
ha	3
haha	4
hurray	5
greed	-4
earnest	5
frowning	-3
unconvinced	-3
stealing	-5
threaten	-3
care	4
comfortably	4
cheer	5
alarm	-3
frenzy	-3
sparkle	4
disillusion	-2
rewarding	5
courageous	5
killing	-6
demanded	-2
admiration	5
charity	4
entertainment	4
grave	-3
merry	5
shockingly	-1
drown	-5
hopeful	5
miseries	-5
sceptical	-2
unstable	-3
threats	-4
fearful	-4
funeral	-3
launched	1
forbidden	-4
hypocritical	-4
stuns	0
pessimistic	-3
trustful	4
paranoiac	-3
rich	5
willingness	2
heros	3
pissing	-4
rants	-3
crueler	-5
tempers	-3
maddening	-4
catastrophe	-6
want	0
riots	-5
pesky	-2
ignored	-3
lunatic	-4
collapses	-2
admits	2
strangled	-5
prospects	2
award	5
depressed	-5
winner	5
discarded	-3
favor	4
harried	-3
fears	-4
fears	-4
toughness	0
obstacle	-3
lethargy	-3
succeeds	4
perfected	5
problematic	-4
engagement	4
sobering	-2
aggravating	-2
help	4
lied	-3
thwarted	0
bad	-5
commit	2
hesitant	-2
gorgeous	6
forced	-4
blesses	5
outrage	-5
sick	-5
keenly	2
uncredited	-2
grieving	-5
criticism	-4
giggles	2
credit	3
dreams	4
affectionately	4
hopefully	4
fuming	-5
coward	-4
disastrous	-5
jackass	-4
torturing	-6
tortures	-5
smile	3
unsatisfied	-4
faith	4
neat	4
nastiest	-5
better	4
saddens	-4
numb	-3
wishing	2
outrage	-5
suspect	-2
smarts	3
excitement	4
winner	5
lows	-2
escape	1
kindness	4
interesting	4
grossed	-1
god	2
charitable	4
allergic	-2
nags	-2
battlefield	-3
liar	-5
carefree	4
raged	-4
enlightens	4
entertaining	4
charged	-2
nah	-1
farce	-4
defeat	-4
stubborn	-4
swearing	-2
killing	-6
strangely	-2
promises	3
amor	6
missing	-2
defective	-4
preventing	0
accident	-4
impatience	-4
vulnerability	-2
unwanted	-2
disgust	-5
mercy	3
party	4
gloom	-5
sarcastic	-2
blah	-1
stopping	-1
bankrupt	-5
falsified	-3
lobby	0
frightened	-4
uptight	-3
loose	-3
enterprising	5
boring	-3
victimized	-4
friend	4
colluding	-2
thoughtless	-4
comedians	2
liar	-5
remarkable	5
opportunities	3
humorless	-3
yearning	1
friends	4
shameless	-3
frightened	-4
hesitate	-2
abusing	-4
kissing	5
lovingly	6
freeze	0
like	3
uninvolved	-4
original	3
ungrateful	-4
divine	5
adore	5
yes	4
brilliant	5
abuser	-5
divine	5
thank	3
racist	-6
dodgy	-2
dishonest	-5
wasted	-4
envy	-2
lame	-4
deficit	-4
problem	-4
hilarious	4
freedoms	2
ridiculousness	-2
insultingly	-5
perturbed	-3
gains	3
envy	-2
envy	-2
weirdness	-2
drunk	-3
dreadlocks	0
discarding	-1
revered	5
foe	-4
fearsome	-4
cheated	-5
sad	-4
jokes	2
delicatessen	1
assault	-5
richly	4
oversimplify	-1
reject	-4
giggled	3
unequaled	1
confuses	-3
worth	2
prejudiced	-4
fraud	-5
truths	4
bright	4
appreciates	5
superb	6
criticized	-3
repressing	-4
infatuation	1
lovely	5
horrible	-5
excruciatingly	-5
torn	-2
indifferent	-2
dedicated	4
remorse	-2
opportunism	1
manipulation	-2
wow	5
liked	4
violence	-6
lenient	2
immortal	2
tragically	-5
bothersome	-3
infected	-4
hailed	2
upsetting	-4
dumbfounded	-3
moronic	-5
congrats	5
satisfactory	3
ghost	-3
impressive	5
welcomed	3
flatter	1
depressive	-3
greed	-4
warfare	-2
funky	-1
unworthy	-4
antagonist	-4
generosity	5
vanity	-2
shameful	-4
merit	4
sweets	4
fear	-4
neglect	-4
innocents	2
haunting	-2
grieve	-3
low	-2
astonished	3
nah	-1
stink	-4
distracting	-2
enchanted	3
savagely	-4
treasured	5
hand	4
ruining	-2
peacemaker	4
agreement	4
weak	-4
tears	-2
poison	-5
crying	-4
worst	-6
crazy	-3
complains	-3
unfulfilled	-4
engagement	4
poised	2
slash	-2
obsession	-3
slut	-5
jerked	-2
affection	5
broken	-4
cheerleader	2
interestingly	4
sunny	4
lonesome	-3
dignifies	4
feuding	-3
highlight	3
enjoyable	4
vip	5
humiliates	-2
challenged	-1
crash	-4
criminals	-5
warning	-3
libelous	-4
scandalous	-5
coerced	-3
triumphs	4
bothering	-3
blah	-1
burdens	-3
amazes	4
unequal	-3
helplessness	-4
obsessing	-3
chagrined	-3
repetitive	-2
paradise	6
defeatist	-4
dejected	-4
disappointment	-5
lack	-3
worthless	-4
scary	-4
thriller	1
dumping	-3
flirts	1
depression	-5
cuter	5
merited	3
virtues	3
exciting	4
cheery	5
reassures	3
died	-5
flirting	2
sin	-5
tough	-1
unhappily	-4
promises	3
love	6
successfully	4
lower	-2
defeated	-4
rebels	-2
disliking	-3
bastardization	-5
forgive	2
pains	-4
whines	-4
surprised	2
creditable	4
endorse	3
stealer	-4
grand	4
contender	1
plays	2
acceptance	4
heroin	-4
worthy	4
backing	0
appalling	-3
pique	-2
clear	3
stalled	-2
exploited	-4
attractive	4
innocent	3
improvement	4
gravestone	-1
crime	-5
thriller	1
strongly	2
dud	-2
embarrassment	-4
rejoicing	5
immortal	2
embarrasses	-4
freaks	-1
geeks	-1
appreciate	4
dwellers	0
weirdly	-2
fit	3
gr8	5
darling	5
perfection	5
excellence	6
failure	-5
shock	-3
inspirational	5
opportunity	4
anguish	-5
embarrass	-2
propaganda	-2
choked	-4
devastated	-6
murderer	-6
positive	5
poisonous	-5
dumpster	-1
faking	-4
reeking	-4
free	5
wisecracking	-1
cherish	3
ideals	2
lurk	-2
disappointed	-4
outstanding	6
gently	4
terrorizes	-6
fool	-4
amuse	4
grim	-5
validate	3
welling	3
assets	1
graced	2
grimaced	-4
dehumanizing	-5
contradict	-3
laughed	4
laughs	4
want	0
true	4
flirtation	4
free	5
forgiving	4
admirers	4
dodging	-1
funerals	-3
irritated	-4
antagonizing	-5
applause	4
solemnity	-2
melancholic	0
crushing	-3
applauded	3
wonderful	5
jerk	-3
odd	-3
freeing	4
abducted	-5
innocents	2
cut	-2
unjust	-5
supremacist	1
chilling	0
deafening	-2
salient	2
matter	0
ill	-4
axe	-1
amused	4
crushes	-4
dwells	0
touted	0
surviving	2
desire	4
truer	3
tard	-5
failed	-5
failure	-5
vanity	-2
pray	3
disturb	-4
adopt	1
commend	4
lowest	-3
true	4
longings	1
intellectually	3
exciting	4
moaning	-1
wealthy	3
repressed	-3
uncontrollable	-3
hug	4
relax	4
flawlessly	2
lawsuits	-1
scandal	-4
dumb	-5
lunatics	-3
conspiracy	-5
scaring	-4
rapists	-6
love	6
fighter	1
awesome	6
enemy	-5
pressuring	-3
fumes	0
killed	-6
stinks	-2
appreciate	4
curse	-5
cool	3
horrid	-5
charmer	4
beauty	5
clarity	4
lameness	-2
offender	-3
lively	4
humiliation	-5
annoyances	-4
darlings	4
complaints	-4
fighting	-3
annoyance	-3
ghost	-3
debonair	2
skeptic	-2
liar	-5
haunting	-2
moan	-1
loomed	-2
sorry	0
downside	-2
weep	-5
courtesy	3
sinister	-5
complimented	4
impressed	4
ok	2
happy	5
resent	-1
traumas	-4
betrayed	-6
impressionistic	3
delights	4
morons	-3
hooligan	-3
competent	3
embittered	-1
gullible	-3
hated	-6
loves	5
weakly	-4
apologizing	0
flawless	5
happy	5
ugh	-4
nerd	-2
freaking	-4
overweight	-3
jolly	5
stinky	-3
misrepresentation	-4
unpleasant	-4
create	2
like	3
conflicting	-4
dangerously	-4
domination	0
dupe	-3
stupid	-5
trouble	-4
terror	-5
enemy	-5
foe	-4
pleasure	5
value	3
overwhelmingly	-1
forbidden	-4
attackers	-5
hides	-1
vigorously	1
easel	0
confidently	4
satisfyingly	4
chance	2
inferior	-4
mia	-2
secured	4
blah	-1
fatigued	-3
panic	-5
dubious	-3
awaits	0
eagerness	4
supreme	5
accuse	-2
unsophisticated	-2
lament	-4
woes	-4
annoy	-4
resentment	-4
paranoia	-2
hunger	-2
trusted	4
strains	-2
choking	-4
loser	-5
vitality	3
interrupt	-3
lol	4
trap	-3
funny	4
thorny	-2
whiners	-1
appreciative	5
no	-2
devotion	4
efficiently	4
motivated	4
stupids	-5
violate	-4
cautious	-1
underestimate	-2
looses	-1
recommend	3
melancholy	-4
sociable	4
punishment	-4
problems	-4
chance	2
brilliantly	6
fantastic	5
acquits	0
victims	-3
horrible	-5
charming	5
teasers	-1
po	-5
freely	4
expelled	-2
thrill	3
bother	-3
unfortunately	-3
smiling	4
grimmer	-3
pleases	4
wise	4
pleasures	4
moody	-3
energy	2
shaking	-1
amazing	5
okay	2
nice	4
jj	2
shattered	-4
derailed	-3
feudal	-2
aggressor	-2
irreversible	-2
fearless	4
wish	4
matter	0
congratulations	5
masochist	-4
distracting	-2
suckered	-4
screwball	0
restores	2
survivor	3
honourable	4
tenderly	4
displeased	-4
captivated	3
hunger	-2
greeted	2
pay	-1
profits	4
smugness	-3
helpfully	5
cheerily	5
appreciation	5
cautious	-1
victim	-2
pseudoscience	-2
happiness	5
compliments	4
darling	5
misunderstand	-3
admires	3
dynamic	3
wtf	-5
irritate	-4
playful	4
grossly	-2
thoughtfully	4
greeting	3
limited	-2
villainous	-4
assaulting	-5
fire	-3
excellent	5
fascinate	5
bravery	4
murdered	-6
awarded	4
fake	-4
carelessly	-2
calmly	3
natural	3
horrified	-5
laugh	5
silly	0
influential	4
illness	-4
loses	-3
talented	5
flop	-3
defenses	1
combat	-3
terrorism	-6
dwelling	0
collapsed	-2
safety	4
dreadful	-4
passionless	-4
numbing	-2
slicker	1
unkind	-3
opportunist	0
stimulating	4
killers	-6
seduced	-3
comedown	-2
mocking	-4
nerves	-1
puzzled	-1
smug	2
praying	3
disappears	-3
praiseworthy	5
incompetence	-5
super	5
enslaved	-4
suicide	-6
invite	1
criticises	-3
enraged	-4
flees	-1
suspicious	-3
adoring	5
adoration	5
flirty	1
lamentable	-3
glorified	5
terrific	4
alas	-2
fooling	-4
stopped	-2
heroism	5
abhors	-5
cheerfully	4
gun	-3
punishments	-4
stunned	-1
shock	-3
humor	2
darkness	-2
inability	-4
scary	-4
verdict	1
toughest	0
shakiest	-2
amazon	1
sweethearts	5
freakish	-4
pain	-5
genial	4
chagrin	-4
forgivable	4
succeed	4
inspirations	4
truthfully	4
treasure	2
painful	-4
huge	3
heros	3
unified	3
racism	-6
provokes	-3
trueness	4
rejected	-5
sexy	5
overreacts	-4
exaggerates	-1
disturbs	-4
bothered	-3
antagonists	-4
rejects	-4
savages	-5
create	2
faultlessly	4
laments	-3
critics	-2
smuggles	-4
shylock	-4
hide	-1
madness	-4
defenseless	-3
rewards	4
good	4
unstoppable	-2
blessing	4
worshippers	2
cherish	3
stressed	-3
irritating	-4
splendour	4
intimidated	-4
handsomely	4
insulted	-5
courteous	5
dread	-4
chastise	-5
appalling	-3
mature	4
verdict	1
energizer	4
drag	-2
irritant	-5
romancing	4
slashed	-2
excruciating	-6
extend	1
overwhelm	-1
gun	-3
hell	-6
missed	-2
flawless	5
apocalyptic	-6
efficient	4
freeze	0
gladly	3
ignoring	-4
torture	-5
slash	-2
broke	-4
hurts	-4
played	3
comfort	3
numbingly	-3
dead	-6
honour	5
cheater	-5
amuses	4
pleaser	4
torture	-5
villains	-6
confusingly	-3
richness	4
charming	5
gentle	4
pain	-5
idealist	3
clever	4
sinful	-5
rich	5
arrested	-4
cancelled	-2
securities	2
battle	-3
overload	-3
stupidities	-4
infuriating	-5
misinformation	-3
problems	-4
heavenly	6
disturbingly	-5
ardent	4
surprising	2
uneasily	-3
nuts	-3
win	5
forbidding	-4
kindly	4
fools	-4
excruciatingly	-5
attackers	-5
miserly	-3
grimacing	-3
demonstration	1
abandoning	-3
mongering	-2
abductions	-4
rapture	1
abduction	-5
delayed	-2
shortage	-2
praying	3
promisingly	2
offense	-2
lobbying	0
dreadful	-4
dynamite	1
divine	5
peculiarly	-1
woe	-4
degraded	-4
championed	2
welcomes	4
restless	-2
dwells	0
friendship	4
trouble	-4
argued	-3
stealth	0
worser	-4
contradicting	-3
piqued	0
tits	-2
special	4
rebellion	-1
cleaner	1
heavens	4
supremacy	0
awful	-4
crap	-3
horrible	-5
compliments	4
bad	-5
easiest	4
disregards	-3
drags	-1
disagree	-3
screw	-1
astoundingly	4
grating	-1
threatened	-4
fire	-3
distractions	-2
ignore	-3
euphoric	6
devastates	-5
fear	-4
sorrowful	-4
passion	4
appalls	-4
pleasures	4
stable	2
revenge	-5
odd	-3
sunshine	4
devil	-6
charmless	-4
weepy	-3
calm	3
errors	-3
sluts	-5
brightly	3
hesitates	-3
fun	5
poorer	-3
pretend	-1
dumbing	-1
robust	3
cruel	-5
sneaky	-2
disturbance	-3
champion	5
respectability	5
engrossed	1
insecure	-4
unloving	-5
delay	-3
stresses	-4
toothless	-3
warned	-2
bitterness	-4
bittersweetness	-1
pride	3
selfishness	-4
longing	0
supremo	4
vague	-1
fatigues	-3
silly	0
comedy	3
undeserving	-4
champions	5
fatalism	-1
cruelty	-5
fearful	-4
treat	4
appreciated	5
innovate	4
cares	4
dearth	-5
imposes	-1
confronting	-1
warmly	4
flexible	2
faithless	-2
humour	4
energies	2
isolate	-2
leaked	-3
lunatic	-4
cheerleading	2
prettier	4
desired	2
paradox	-1
irritations	-3
disheartening	-4
deadlock	-3
friend	4
die	-5
slut	-5
joyless	-5
sickened	-5
raped	-6
committed	2
championship	4
neglects	-4
disguises	-2
cleverness	5
imprisoned	-4
reliant	1
stealthy	0
jeopardy	-4
strain	0
friendship	4
maniacal	0
perfecting	5
uncertainties	-3
perfect	5
disruptive	-3
hostile	-3
prisoners	-5
trapped	-5
admiring	3
murder	-6
insanity	-5
criminal	-5
sparkles	3
lover	5
stuck	-2
crisis	-6
mocked	-3
condemn	-3
approved	4
detention	-3
petty	-2
duller	-4
easy	4
play	3
faithfulness	4
dead	-6
serious	0
dearest	5
confidently	4
significant	2
regretful	-4
unhappiness	-5
satisfactory	3
challenger	1
sure	3
cornered	-2
violations	-5
fabulous	5
favors	2
violently	-5
intimidating	-4
accusations	-3
wag	0
stall	-2
terrific	4
persecuted	-3
verdict	1
resigned	-2
hilarious	4
surprisingly	2
successor	2
alone	-2
relieving	3
decay	-4
poverty	-5
smuggling	-4
certain	2
harsh	-4
snobbism	-2
fabulous	5
tolerant	2
restrict	-3
boycott	-3
heartbreak	-5
liked	4
ashamed	-4
lack	-3
fu	-6
savage	-4
lucking	2
agitation	-2
amusing	3
perfectly	6
dull	-4
skepticism	-2
usefulness	2
disaster	-6
dispute	-4
indecisiveness	-3
freedom	6
magnificent	5
disasters	-5
no	-2
enlightened	4
fighting	-3
doom	-4
hopelessly	-4
smear	-3
missed	-2
heaven	5
deceit	-4
thx	3
forget	-2
shits	-4
innovation	3
difficult	-3
rejecting	-4
expelled	-2
vigor	2
gentler	3
beneficiaries	4
treasure	2
jewels	4
assaulted	-5
saddened	-5
support	4
disguising	-3
enjoy	4
suing	-2
important	2
looming	-1
awards	4
disappoint	-4
brainwashing	-3
somber	-4
zealous	1
favours	4
rewards	4
join	2
careless	-3
hurt	-5
heroes	5
bore	-2
gossipy	-3
vigour	2
falling	-1
appease	2
demand	-1
dork	-3
trivializing	-1
solution	3
problem	-4
actively	3
torturers	-6
vitality	3
privileged	4
robber	-5
rebellions	-2
terrific	4
blind	-4
amorality	-3
justified	4
flawless	5
friends	4
scares	-3
thankful	5
ok	2
hahaha	5
difficulty	-3
charmed	4
praise	5
warred	-5
enlightening	5
ignorantly	-3
dullest	-4
devotees	1
apathetic	-2
rebellion	-1
saddening	-4
grimaces	-4
frantically	-3
agonizingly	-5
whore	-6
wellspring	3
fine	2
avoidance	-4
hallelujah	6
kiss	4
energized	5
invigorated	2
bliss	5
chances	2
goddamn	-4
cynically	-3
intellectualize	3
endorsement	3
alive	3
joys	4
wisdom	5
soothing	3
scornful	-4
annoyed	-3
innocently	3
lonely	-3
arrogantly	-4
trick	0
griminess	-3
retained	0
guilt	-2
ecstasy	5
defence	1
shocking	-4
raping	-7
extends	1
traumatised	-5
sorrows	-3
loyalties	4
hug	4
fury	-5
optimizing	4
entertainment	4
missed	-2
condemnation	-5
defeatism	-3
death	-5
bravery	4
glory	5
villain	-5
delight	5
doubted	-2
entertain	3
flirtations	0
jailed	-4
screwball	0
depressingly	-5
haha	4
smile	3
smarts	3
lurks	-2
powerful	4
compelling	2
clever	4
offensively	-5
regretfully	-4
grin	4
reluctance	-3
divinely	5
unemployment	-4
scandals	-4
freed	4
imperfect	-3
openness	3
ugliest	-5
:sigh	0
dweller	0
wow	5
angers	-5
beaut	3
rapture	1
frustrate	-4
fatally	-6
peacekeepers	3
peacekeeper	3
loss	-3
astonished	3
pleasers	2
devil	-6
belittle	-4
jokes	2
solving	3
fear	-4
victim	-2
gift	4
assure	3
wickedest	-5
shrew	-2
haplessness	-3
worships	3
encourages	4
avoidances	-2
protesting	-4
intimidating	-4
compassion	4
wisdom	5
fine	2
picturesque	3
virtues	3
dirtier	-3
indignant	-4
sweethearts	5
commitments	1
harmlessly	3
regrettable	-5
easiness	3
unfair	-4
whined	-2
lower	-2
alone	-2
slam	-3
smart	4
aggravates	-4
geeks	-1
cool	3
hard	-1
tantrum	-4
joy	5
dooms	-2
burdened	-4
favorably	3
miserable	-4
championships	4
unbelievable	2
fire	-3
killings	-6
verdicts	0
safer	4
tragedy	-6
lover	5
eager	3
bored	-2
flu	-3
dire	-4
coward	-4
chances	2
fighters	0
helper	3
dud	-2
contagious	-3
startlingly	0
weaklings	-3
vitriolic	-4
amusement	3
numbs	-1
interest	4
uninvolving	-4
tricking	0
motivating	4
collapsing	-2
motivate	3
longings	1
improving	4
looms	-1
cut	-2
disaster	-6
:d	5
treasure	2
talent	4
funnier	4
play	3
happy	5
heroine	5
offence	-2
lovely	5
mad	-4
resolves	1
dilemma	-1
betrayal	-5
keenly	2
prizes	4
fraud	-5
remorseless	-5
unbiased	0
sufferer	-4
strain	0
kisser	4
merry	5
crudest	-5
crudeness	-4
created	2
lamer	-3
jealousies	-4
joy	5
convincing	4
loser	-5
want	0
adversaries	-2
romanticizing	2
privilege	3
sobbing	-3
guilt	-2
blessed	5
fair	3
heartfelt	5
pitiable	-2
irreversible	-2
adorned	2
blurry	-1
glamour	5
battlefields	-2
opportunists	0
hardship	-3
arrest	-3
pricker	0
gag	-3
bummer	-3
notorious	-4
forgetful	-2
funniest	5
strong	5
revenge	-5
feuds	-3
loner	-3
talent	4
unattractive	-4
craze	-1
stinko	-3
tranquil	0
luckless	-3
provoke	-4
interrupts	-3
horrendously	-4
devote	3
apprehension	-4
fame	4
rejoice	4
ugliest	-5
chic	2
weirdly	-2
dearly	4
hunger	-2
fraudulent	-4
frauds	-5
matters	0
fresh	3
hatred	-6
lawsuit	-2
domination	0
mock	-4
severe	-3
dilemma	-1
virtuosity	4
engaging	3
reassure	3
triumphant	5
exhilarated	6
lag	-3
tenderness	4
mia	-2
champagne	2
manipulating	-3
securing	3
giggly	2
crude	-5
disappointments	-4
stunning	3
effectively	4
happiness	5
surprising	2
drowns	-4
rescues	3
rancid	-5
amuse	4
matters	0
doomsday	-5
irate	-5
creative	4
wicked	-5
hilarious	4
stable	2
appalling	-3
wasted	-4
blessed	5
sadder	-5
vicious	-3
arrests	-4
swindle	-5
censored	-1
unbelievable	2
masterpiece	6
perversely	-4
protests	-2
promote	3
ass	-5
dirt	-3
escape	1
delight	5
luck	4
dumbass	-5
rape	-6
challenging	1
responsive	3
no	-2
devil	-6
stubbornness	-2
chuckling	3
helper	3
challenge	0
growing	1
troubleshooter	2
troubling	-5
indignation	-5
battleground	-4
erroneous	-4
obliterated	-4
unintelligent	-4
offends	-4
friendly	4
saddest	-6
stamina	2
laughs	4
miracle	5
glorification	4
dissatisfying	-5
